standard_source,standard_target
IL6ST,JAK1
PTPRC,JAK1
CSF2RB,JAK1
IL9R,JAK1
IFNAR2,JAK1
IL10RA,JAK1
IFNAR1,JAK1
IFNGR1,JAK1
OSMR,JAK1
IL6R,JAK1
IL20RA,JAK1
IFNGR2,JAK1
LIFR,JAK1
IL10RB,JAK1
CSF3R,JAK1
CNTFR,JAK1
SRC,KIT
FYN,KIT
LCK,KIT
LYN,KIT
PRKCZ,KIT
KITLG,KIT
PTPN6,KIT
CBL,KIT
PTPRG,KIT
SRC,IKBKB
FLNA,IKBKB
CASP8,IKBKB
PRKCZ,IKBKB
TRAF2,IKBKB
MAP3K1,IKBKB
SRC,CHUK
NOTCH1,CHUK
TNF,CHUK
CASP8,CHUK
PRKCI,CHUK
TRAF2,CHUK
TNFRSF1A,CHUK
MAP3K1,CHUK
SRC,RXRA
AR,RXRA
ESR1,RXRA
NR0B2,RXRA
SRC,HNRNPK
TYK2,HNRNPK
SRC,PIK3CA
EGFR,PIK3CA
PTK2,PIK3CA
HRAS,PIK3CA
KIT,PIK3CA
ERBB2,PIK3CA
CTNNB1,PIK3CA
INSR,PIK3CA
PDGFRB,PIK3CA
ERBB3,PIK3CA
CBL,PIK3CA
SYK,PIK3CA
PTPN11,PIK3CA
GNA11,PIK3CA
ERBB4,PIK3CA
IRS4,PIK3CA
ITGB4,PIK3CA
SRC,SORBS1
SRC,CAV1
FYN,CAV1
EGFR,CAV1
INSR,CAV1
INS,CAV1
PRNP,CAV1
SRC,ABL2
PDGFRB,ABL2
SRC,PTK2B
EGFR,PTK2B
LYN,PTK2B
JAK1,PTK2B
PTPN6,PTK2B
SYK,PTK2B
PTPN11,PTK2B
IL7R,PTK2B
PIK3CA,PTK2B
ITGB1,PTK2B
GNA13,PTK2B
ITGB3,PTK2B
ITGB2,PTK2B
SRC,RAF1
LCK,RAF1
JAK2,RAF1
HRAS,RAF1
HSP90AA1,RAF1
PRKCZ,RAF1
COMPLEX:CDC37_HSP90AA1,RAF1
YWHAQ,RAF1
YWHAZ,RAF1
TGFB1,TGFBR2
TGFB3,TGFBR2
TGFB2,TGFBR2
EFNA1,EPHA3
EFNA5,EPHA3
EFNA3,EPHA3
EFNA4,EPHA3
EFNB2,EPHA3
PRKCZ,EPHB2
EFNA5,EPHB2
EFNB2,EPHB2
EFNB1,EPHB2
SRC,DDR2
COL1A1,DDR2
SRC,PPARG
EGFR,PPARG
TNF,PPARG
CTNNB1,PPARG
ESR1,PPARG
NCOR1,PPARG
BCR,PPARG
SRC,ARRB1
SMO,ARRB1
IGF1R,CSK
ITGB3,CSK
SRC,CTTN
FYN,CTTN
PTK2,CTTN
MET,CTTN
SYK,CTTN
FGFR1,CTTN
PTPRG,CTTN
ACTB,CTTN
ACTA1,CTTN
SRC,RACK1
AGRN,MUSK
LRP4,MUSK
WNT11,MUSK
SRC,SYK
FYN,SYK
LYN,SYK
JAK1,SYK
PTPN6,SYK
PTPN11,SYK
LYN,PIK3CG
PIK3R1,PIK3CG
HRAS,PIK3CG
KIT,PIK3CG
CD28,PIK3CG
ERBB3,PIK3CG
CBL,PIK3CG
ERBB4,PIK3CG
IRS4,PIK3CG
EPHA8,PIK3CG
AXL,PIK3CG
ITGB4,PIK3CG
FYN,NFE2L2
SRC,IGF1R
KL,IGF1R
IGF1,IGF1R
IGF2,IGF1R
CBL,IGF1R
GRK2,IGF1R
PTPN11,IGF1R
INS,IGF1R
SOCS2,IGF1R
SRC,HDAC3
NCOR1,HDAC3
SRC,CDH2
CTNND1,CDH2
CTNND2,CDH2
SRC,INPPL1
SRC,CTNND1
FYN,CTNND1
EGFR,CTNND1
ERBB2,CTNND1
MET,CTNND1
PTPN6,CTNND1
PTPRJ,CTNND1
PSEN1,CTNND1
CSF1R,CTNND1
PTPRM,CTNND1
SRC,FCRL3
SRC,RPS6KA3
FYN,RPS6KA3
FLT4,RPS6KA3
SRC,WNK4
SRC,BDKRB2
TP53,BDKRB2
GRK2,BDKRB2
GRK5,BDKRB2
KNG1,BDKRB2
SRC,RGS16
EGFR,RGS16
LYN,RGS16
TP53,RGS16
FYN,PTPRJ
EGFR,CDH1
MET,CDH1
CTNND1,CDH1
CTNND2,CDH1
PSEN1,CDH1
SRC,PRKD1
YWHAQ,PRKD1
SRC,KCNB1
SRC,TLR3
EGFR,TLR3
CD14,TLR3
SRC,DAB1
RELN,DAB1
PTPRG,DAB1
LRP8,DAB1
VLDLR,DAB1
SRC,HCN2
SRC,YAP1
CTNNA1,YAP1
SFN,YAP1
TJP2,YAP1
AMOT,YAP1
FYN,PRKAA2
SRC,ARAF
HRAS,ARAF
YWHAQ,ARAF
YWHAZ,ARAF
SRC,KRAS
PTPN11,KRAS
SRC,BMX
BTK,BMX
PTPRG,BMX
TLN1,ITGB2
FGA,ITGB2
CCN2,ITGB2
ICAM3,ITGB2
VCAM1,ITGB2
ICAM1,ITGB2
ICAM5,ITGB2
ICAM2,ITGB2
ICAM4,ITGB2
CCN1,ITGB2
CD82,ITGB2
SRC,ITGB3
TLN1,ITGB3
SYK,ITGB3
THBS1,ITGB3
FN1,ITGB3
VTN,ITGB3
VWF,ITGB3
SPP1,ITGB3
ADAM23,ITGB3
COL1A2,ITGB3
ICAM4,ITGB3
CCN1,ITGB3
COMP,ITGB3
